BvDEP ID number;Ticker;Account date;Total assets;Working capital;Enterprise value;Sales;Gross profit;P/L before tax;P/L after tax;Research & Development Expenses;EBITDA;Return on capital employed (%);Return on total assets (%)
AT9110473471;HST;31/12/2018;9203187;-44743;43440011;300000;300000;3259345;3255845;;-40601;37,10;35,42
BE0465281284;ICE;31/12/2018;4566890;162248;;28618;294045;-1091789;-1091789;;-825692;;-23,91
BG203476985;SO;31/12/2018;16207000;5602000;;27423000;;1828000;1637000;;2189000;16,38;11,28
BG812020577;SLB;31/12/2018;46756000;-1967000;6394766;3766000;;-116000;-116000;;874000;-0,19;-0,25
BG832082699;ETR;31/12/2018;12353000;2409000;31817000;8200000;;43000;37000;;829000;5,89;0,35
BG833045174;SUN;31/12/2018;28875000;2673000;23990452;9886000;;3813000;3653000;;576000;34,45;13,21
BG838168266;HES;31/12/2018;48818000;10476000;80939013;61875000;;5821000;4954000;;8995000;15,26;11,92
CHCHE102210767;SUN;31/12/2018;4898000000;759000000;2913178083;3365000000;1009000000;166000000;117000000;86400000;329000000;5,66;3,39
DE2151001735;TEG;31/12/2018;5033343000;52633000;5287795342;525036000;703337000;542214000;488209000;;642510000;13,32;10,77
DE2151001735;TEG;31/12/2018;1989793783;-177455;3412975386;47914716;59391676;22347753;27276612;;6687186;3,06;1,12
DE3210000462;GME;31/12/2018;29380254;8539125;40007931;21521920;14784168;1477761;834180;;2801484;8,00;5,03
DE3210000462;GME;31/12/2018;21877534;6072748;37590123;12589422;7918836;1791471;1212842;;2544837;8,63;8,19
DE4170123108;CAG;31/12/2018;239653000;3693000;;15945000;19610000;-2435000;-3174000;;9712000;2,20;-1,02
DE4170123108;CAG;31/12/2018;111587321;-60685;;320039;949587;1419458;1572758;;-2437184;1,28;1,27
DE5030147137;DTE;31/12/2018;145375000000;1079000000;123191588129;75656000000;41406000000;5153000000;3329000000;;21837000000;6,08;3,55
DE5050416757;TSS;31/12/2018;104585000;17037000;83995000;96967000;68990000;11977000;8492000;;15678000;12,85;11,45
DE5050625301;LEG;31/12/2018;11194200000;21900000;10697857849;1612200000;1223100000;1096400000;847100000;;1188600000;10,79;9,79
DE5050625301;LEG;31/12/2018;4802026151;1737178;7247126523;;1685755;-13064128;-13064128;;;0,19;-0,27
DE5110000576;HOT;31/12/2018;14447822000;-2335404000;7334020886;23882290000;6636301000;978439000;718551000;;1164257000;18,70;6,77
DE5110000576;HOT;31/12/2018;5552108000;4289000;10223805886;77091000;96632000;346691000;380531000;;-87702000;9,63;6,24
DE6050108507;MRK;31/12/2018;36888000000;3459000000;18408990172;14836000000;10081000000;1461000000;1093000000;2225000000;;6,23;3,96
DE8170054051;NEM;31/12/2018;580558000;44036000;1232186686;461299000;454625000;99808000;76560000;;123386000;25,86;17,19
DE8310012616;SLB;31/12/2018;21040028;1481494;41658089;14740962;9920051;1056255;711162;;3324376;6,15;5,02
DE8330220167;TGT;31/12/2018;19553000;8818000;18616091;42921000;18608000;-3013000;-3109000;;7356000;-33,33;-15,41
DE8330220167;TGT;31/12/2018;43569000;2262000;19115091;11477000;8364000;-10637000;-10636000;;-1591000;-25,42;-24,41
DK15701315;SPG;31/12/2018;1640509000;432135000;2931172000;1965029000;645672000;200113000;160083000;0;285619000;20,35;12,20
DK15701315;SPG;31/12/2018;771606000;-130000;2796094000;7431000;7431000;51551000;54435000;0;-9541000;12,17;6,68
DK26791413;PEG;31/12/2018;80838000;-1780000;;;;-7713000;-7713000;0;;-9,78;-9,54
DK58180912;FLS;31/12/2018;21743000000;3949000000;17781375313;18750000000;4693000000;1059000000;811000000;0;1824000000;17,59;4,87
DK58180912;FLS;31/12/2018;9217000000;0;;;;-355000000;-358000000;0;-26000000;14,67;-3,85
ESA28027399;COL;31/12/2018;11487314000;82531000;8922685860;348273000;1055902000;704339000;678109000;;849437000;7,67;6,13
ESA28027399;COL;31/12/2018;6213509000;5715000;7085309860;198422000;198429000;35581000;36308000;;171602000;1,96;0,57
ESA28079226;AMP;31/12/2018;139555000;41083000;273659380;143244000;84941000;13021000;11986000;;15649000;26,44;9,33
ESA28079226;AMP;31/12/2018;97789000;2936000;284005380;3894000;4281000;-5525000;-5131000;;-5008000;-5,71;-5,65
ESA28294700;MTB;31/12/2018;118804000;75147000;47484198;6193000;2878000;-2663000;-2013000;;-453000;-1,64;-2,24
ESA28294700;MTB;31/12/2018;129296872;9293480;52324188;80368;196336;-3368099;-3224496;;-1310155;-2,30;-2,61
ESA78267176;PHM;31/12/2018;157676000;16080000;313219721;162587000;128578000;-18704000;-16205000;;-7210000;-15,89;-11,86
ESA78267176;PHM;31/12/2018;270942000;21452000;310638721;94011000;89915000;-55211000;-48528000;;-15099000;-24,77;-20,38
ESA82826074;VTR;31/12/2018;5675766;15515;;;;-464047;-464047;;;-8,18;-8,18
ESA98306228;SAI;31/12/2018;509668;77012;;363695;217073;-60922;-45728;;-60166;-12,95;-11,95
FR332036128;NRG;31/12/2018;804409000;63318000;380907554;411037000;332461000;35131000;22284000;0;58921000;5,86;4,37
FR332036128;NRG;31/12/2018;1130303000;7302000;513120554;29302000;;-25347000;-9123000;;-733000;-2,27;-2,24
FR364800060;COV;31/12/2018;24384202000;195844000;16236295496;1213199000;1380682000;1259594000;1143462000;585000;822846000;6,82;5,17
FR364800060;COV;31/12/2018;9166729000;9256000;8228086496;86112000;;384524000;382418000;;56157000;7,34;4,20
