Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
PINNACLE WEST CAPITAL CORP;001075;PNW;31/12/2017;2017;INDL;C;D;STD;USD;17019,08;1430,89;934,43;1468,55;1468,55;488,46;3565,30;A
ABBOTT LABORATORIES;001078;ABT;31/12/2017;2017;INDL;C;D;STD;USD;76250,00;1135,00;3996,00;7017,00;17277,00;477,00;27390,00;A
ADVANCED MICRO DEVICES;001161;AMD;31/12/2017;2017;INDL;C;D;STD;USD;3540,00;113,00;152,00;229,00;1900,00;43,00;5329,00;A
AETNA INC;001177;AET;31/12/2017;2017;FS;C;D;STD;USD;55151,00;;;;;;;I
AETNA INC;001177;AET;31/12/2017;2017;INDL;C;D;STD;USD;55151,00;410,00;5038,00;5428,00;15819,00;1904,00;60447,00;I
AIR PRODUCTS & CHEMICALS INC;001209;APD;30/09/2017;2017;INDL;C;D;STD;USD;18467,20;1039,70;1660,80;2526,60;3300,00;3000,40;8187,60;A
HONEYWELL INTERNATIONAL INC;001300;HON;31/12/2017;2017;INDL;C;D;STD;USD;59387,00;1031,00;8122,00;9237,00;14858,00;1655,00;40534,00;A
HESS CORP;001380;HES;31/12/2017;2017;INDL;C;D;STD;USD;23112,00;1937,00;-5392,00;-2185,00;-1568,00;-4074,00;5466,00;A
AMERICAN ELECTRIC POWER CO;001440;AEP;31/12/2017;2017;INDL;C;D;STD;USD;64729,10;5799,30;3431,20;5428,40;5428,40;1912,60;15424,90;A
AMERICAN EXPRESS CO;001447;AXP;31/12/2017;2017;FS;C;D;STD;USD;181159,00;;;;;;;A
AMERICAN EXPRESS CO;001447;AXP;31/12/2017;2017;INDL;C;D;STD;USD;181159,00;1063,00;8297,00;9618,00;9618,00;2736,00;35583,00;A
AFLAC INC;001449;AFL;31/12/2017;2017;FS;C;D;STD;USD;137217,00;;;;;;;A
AFLAC INC;001449;AFL;31/12/2017;2017;INDL;C;D;STD;USD;137217,00;0,00;4346,00;4396,00;4396,00;4604,00;21700,00;A
AMERICAN INTERNATIONAL GROUP;001487;AIG;31/12/2017;2017;FS;C;D;STD;USD;498301,00;;;;;;;A
AMERICAN INTERNATIONAL GROUP;001487;AIG;31/12/2017;2017;INDL;C;D;STD;USD;498301,00;0,00;2518,00;6392,00;6392,00;-6084,00;49004,00;A
AMGEN INC;001602;AMGN;31/12/2017;2017;INDL;C;D;STD;USD;79954,00;664,00;10497,00;12452,00;20881,00;1979,00;22849,00;A
ANALOG DEVICES INC;001632;ADI;31/10/2017;2017;INDL;C;D;STD;USD;21141,29;204,10;1534,05;2118,11;3707,02;727,26;5107,50;A
NABORS INDUSTRIES LTD;001661;NBR;31/12/2017;2017;INDL;C;D;STD;USD;8401,98;574,47;-300,25;542,69;846,22;-546,81;2564,29;A
APA CORP;001678;APA;31/12/2017;2017;INDL;C;D;STD;USD;21922,00;2760,00;668,00;3324,00;4022,00;1304,00;5752,00;A
APPLE INC;001690;AAPL;30/09/2017;2017;INDL;C;D;STD;USD;375319,00;12451,00;61344,00;70744,00;97586,00;48351,00;229234,00;A
APPLIED MATERIALS INC;001704;AMAT;31/10/2017;2017;INDL;C;D;STD;USD;19419,00;345,00;3871,00;4278,00;6919,00;3434,00;14537,00;A
ARCHER-DANIELS-MIDLAND CO;001722;ADM;31/12/2017;2017;INDL;C;D;STD;USD;39963,00;1049,00;1513,00;2437,00;4430,00;1595,00;60828,00;A
AUTODESK INC;001878;ADSK;31/01/2017;2016;INDL;C;D;STD;USD;4798,10;76,00;-419,10;-273,80;1802,60;-582,10;2031,00;A
AUTOMATIC DATA PROCESSING;001891;ADP;30/06/2017;2017;INDL;C;D;STD;USD;37180,00;240,20;2405,90;2722,00;5426,10;1733,40;12379,80;A
AVERY DENNISON CORP;001913;AVY;31/12/2017;2017;INDL;C;D;STD;USD;5136,90;190,50;689,00;863,50;1986,70;281,80;6613,80;A
AVON PRODUCTS;001920;AVP;31/12/2017;2017;INDL;C;D;STD;USD;3697,90;97,30;352,30;464,20;3626,70;22,00;5715,60;A
BANK OF NEW YORK MELLON CORP;002019;BK;31/12/2017;2017;FS;C;D;STD;USD;371758,00;;;;;;;A
BANK OF NEW YORK MELLON CORP;002019;BK;31/12/2017;2017;INDL;C;D;STD;USD;371758,00;1197,00;7311,00;8785,00;15567,00;4090,00;16617,00;A
BAXTER INTERNATIONAL INC;002086;BAX;31/12/2017;2017;INDL;C;D;STD;USD;17111,00;634,00;1532,00;2275,00;5316,00;717,00;10561,00;A
BECTON DICKINSON & CO;002111;BDX;30/09/2017;2017;INDL;C;D;STD;USD;37734,00;726,00;2243,00;3182,00;6881,00;1100,00;12093,00;A
VERIZON COMMUNICATIONS INC;002136;VZ;31/12/2017;2017;INDL;C;D;STD;USD;257143,00;17247,00;27206,00;43936,00;74649,00;30101,00;126034,00;A
BEMIS CO INC;002154;BMS;31/12/2017;2017;INDL;C;D;STD;USD;3699,90;188,50;361,90;531,70;955,00;94,00;4046,20;I
BERKSHIRE HATHAWAY;002176;BRK.B;31/12/2017;2017;FS;C;D;STD;USD;702095,00;;;;;;;A
BERKSHIRE HATHAWAY;002176;BRK.B;31/12/2017;2017;INDL;C;D;STD;USD;702095,00;11708,00;26294,00;35482,00;35482,00;44940,00;242137,00;A
BEST BUY CO INC;002184;BBY;31/01/2017;2016;INDL;C;D;STD;USD;13856,00;582,00;1733,00;2387,00;9911,00;1228,00;39403,00;A
BLOCK H & R INC;002269;HRB;30/04/2017;2016;INDL;C;D;STD;USD;2694,11;89,26;715,98;898,15;1511,73;408,95;3036,31;A
BOEING CO;002285;BA;31/12/2017;2017;INDL;C;D;STD;USD;92333,00;1739,00;10123,00;11911,00;19184,00;8197,00;93392,00;A
ROBERT HALF INC;002312;RHI;31/12/2017;2017;INDL;C;D;STD;USD;1867,45;40,75;515,72;581,21;2227,74;290,58;5266,79;A
BRISTOL-MYERS SQUIBB CO;002403;BMY;31/12/2017;2017;INDL;C;D;STD;USD;33551,00;1055,00;4220,00;5092,00;15731,00;1007,00;20776,00;A
BROWN FORMAN CORP;002435;BF.B;30/04/2017;2016;INDL;C;D;STD;USD;4625,00;115,00;971,00;1029,00;2079,00;669,00;2994,00;A
CIGNA GROUP (THE);002547;CI;31/12/2017;2017;FS;C;D;STD;USD;61753,00;;;;;;;A
CIGNA GROUP (THE);002547;CI;31/12/2017;2017;INDL;C;D;STD;USD;61753,00;471,00;4369,00;4935,00;4935,00;2237,00;41616,00;A
CSX CORP;002574;CSX;31/12/2017;2017;INDL;C;D;STD;USD;35739,00;2040,00;3700,00;5015,00;5015,00;5471,00;11408,00;A
CAMPBELL SOUP CO;002663;CPB;31/07/2017;2017;INDL;C;D;STD;USD;7726,00;338,00;1677,00;1995,00;3362,00;887,00;7890,00;A
CONSTELLATION BRANDS;002710;STZ;28/02/2017;2016;INDL;C;D;STD;USD;18602,40;907,40;2179,60;2427,50;3784,40;1535,10;7331,50;A
