Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker Symbol;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
012138;10138;TROW;74144T10;31/12/2018;31/12/2018;28/02/2019;0,28;0,33;0,31;0,39;0,11;0,13
001300;10145;HON;43851610;31/12/2018;31/12/2018;28/02/2019;0,21;0,15;0,34;0,22;0,68;2,17
001722;10516;ADM;03948310;31/12/2018;31/12/2018;28/02/2019;0,88;0,07;0,09;0,08;0,53;1,15
012635;10696;FISV;33773810;31/12/2018;31/12/2018;28/02/2019;0,11;0,18;0,38;0,19;0,80;3,91
012850;10909;CERN;15678210;31/12/2018;31/12/2018;28/02/2019;0,31;0,22;0,12;0,15;0,27;0,36
003144;11308;KO;19121610;31/12/2018;31/12/2018;28/02/2019;0,09;0,13;0,35;0,16;0,77;3,78
003413;11404;ED;20911510;31/12/2018;31/12/2018;28/02/2019;0,92;0,08;0,06;0,07;0,69;2,22
013599;11552;CELG;15102010;31/12/2018;31/12/2018;28/02/2019;0,20;0,22;0,47;0,26;0,83;4,76
013700;11600;XRAY;24906P10;31/12/2018;31/12/2018;28/02/2019;0,68;0,08;-0,16;0,05;0,41;0,69
014225;11618;FAST;31190010;31/12/2018;31/12/2018;28/02/2019;0,16;0,36;0,33;0,38;0,31;0,44
003897;11674;DTE;23333110;31/12/2018;31/12/2018;28/02/2019;0,62;0,08;0,09;0,07;0,70;2,50
004503;11850;XOM;30231G10;31/12/2018;31/12/2018;28/02/2019;0,76;0,12;0,10;0,10;0,43;0,77
014477;11955;WM;94106L10;31/12/2018;31/12/2018;28/02/2019;0,20;0,19;0,26;0,17;0,72;2,61
005046;12052;GD;36955010;31/12/2018;31/12/2018;28/02/2019;0,27;0,13;0,28;0,22;0,74;2,87
005047;12060;GE;36960410;31/12/2018;31/12/2018;28/02/2019;0,47;0,06;-0,43;0,07;0,83;8,30
014960;12062;LH;50540R40;31/12/2018;31/12/2018;28/02/2019;0,63;0,12;0,11;0,11;0,57;1,32
016245;12073;PBCT;71270410;31/12/2018;31/12/2018;28/02/2019;1,17;0,02;0,08;0,07;0,86;6,33
006066;12490;IBM;45920010;31/12/2018;31/12/2018;28/02/2019;0,20;0,14;0,45;0,20;0,86;6,34
006310;12558;KMI;49456B10;31/12/2018;31/12/2018;28/02/2019;0,97;0,08;0,05;0,06;0,55;1,30
186989;12872;MPC;56585A10;31/12/2018;31/12/2018;28/02/2019;1,00;0,11;0,10;0,12;0,52;1,36
189491;13035;XYL;98419M10;31/12/2018;31/12/2018;28/02/2019;0,26;0,14;0,19;0,15;0,61;1,60
187128;13141;WPX;98212B10;31/12/2018;31/12/2018;28/02/2019;0,94;0,17;0,06;0,08;0,48;0,91
199356;13168;TRIP;89694520;31/12/2018;31/12/2018;28/02/2019;0,20;0,14;0,08;0,12;0,32;0,47
170841;13356;PSX;71854610;31/12/2018;31/12/2018;28/02/2019;0,76;0,12;0,19;0,15;0,50;1,10
008264;13688;PCG;69331C10;31/12/2018;31/12/2018;28/02/2019;1,29;0,08;-0,33;0,07;0,83;4,97
008479;13856;PEP;71344810;31/12/2018;31/12/2018;28/02/2019;0,12;0,16;0,78;0,22;0,81;4,34
008543;13901;MO;02209S10;31/12/2018;31/12/2018;28/02/2019;0,22;0,20;0,34;0,28;0,73;2,76
008549;13928;COP;20825C10;31/12/2018;31/12/2018;28/02/2019;0,52;0,21;0,17;0,18;0,54;1,19
001602;14008;AMGN;03116210;31/12/2018;31/12/2018;28/02/2019;0,11;0,17;0,42;0,20;0,81;4,31
019574;14490;NEWM;64704V10;31/12/2018;31/12/2018;28/02/2019;1,04;0,12;0,03;0,07;0,50;1,01
002991;14541;CVX;16676410;31/12/2018;31/12/2018;28/02/2019;0,82;0,13;0,09;0,08;0,39;0,64
007017;15069;MRO;56584910;31/12/2018;31/12/2018;28/02/2019;1,05;0,17;0,09;0,06;0,43;0,76
011228;15202;VMC;92916010;31/12/2018;31/12/2018;28/02/2019;0,44;0,12;0,09;0,10;0,47;0,89
023627;15378;LIFE;00212010;31/12/2018;31/12/2018;28/02/2019;2,22;-0,43;-0,71;-0,47;0,36;0,57
