Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
012138;10138;TROW;74144T10;31/12/2019;31/12/2019;29/02/2020;0,25;0,3;0,32;0,36;0,12;0,16
001300;10145;HON;43851610;31/12/2019;31/12/2019;29/02/2020;0,16;0,15;0,31;0,21;0,68;2,16
001722;10516;ADM;03948310;31/12/2019;31/12/2019;29/02/2020;0,79;0,06;0,07;0,06;0,56;1,29
012635;10696;FISV;33773810;31/12/2019;31/12/2019;29/02/2020;0,47;0,07;0,04;0,05;0,55;1,29
012850;10909;CERN;15678210;31/12/2019;31/12/2019;29/02/2020;0,21;0,23;0,11;0,16;0,37;0,6
003144;11308;KO;19121610;31/12/2019;31/12/2019;29/02/2020;0,09;0,14;0,44;0,17;0,76;3,44
003413;11404;ED;20911510;31/12/2019;31/12/2019;29/02/2020;0,8;0,08;0,06;0,07;0,69;2,21
013700;11600;XRAY;24906P10;31/12/2019;31/12/2019;29/02/2020;0,44;0,1;0,05;0,08;0,41;0,69
014225;11618;FAST;31190010;31/12/2019;31/12/2019;29/02/2020;0,13;0,34;0,31;0,35;0,3;0,43
003897;11674;DTE;23333110;31/12/2019;31/12/2019;29/02/2020;0,57;0,08;0,09;0,06;0,72;2,57
004503;11850;XOM;30231G10;31/12/2019;31/12/2019;29/02/2020;0,74;0,09;0,07;0,05;0,45;0,85
014477;11955;WM;94106L10;31/12/2019;31/12/2019;29/02/2020;0,18;0,18;0,21;0,15;0,75;2,92
005046;12052;GD;36955010;31/12/2019;31/12/2019;29/02/2020;0,28;0,11;0,26;0,18;0,72;2,6
005047;12060;GE;36960410;31/12/2019;31/12/2019;29/02/2020;0,29;0,05;0,01;0,07;0,89;8,33
014960;12062;LH;50540R40;31/12/2019;31/12/2019;29/02/2020;0,51;0,12;0,1;0,11;0,58;1,38
016245;12073;PBCT;71270410;31/12/2019;31/12/2019;29/02/2020;1,04;0,02;0,07;0,07;0,86;6,37
006066;12490;IBM;45920010;31/12/2019;31/12/2019;29/02/2020;0,22;0,12;0,41;0,14;0,86;6,3
006310;12558;KMI;49456B10;31/12/2019;31/12/2019;29/02/2020;0,7;0,08;0,06;0,06;0,53;1,16
186989;12872;MPC;56585A10;31/12/2019;31/12/2019;29/02/2020;1,03;0,1;0,07;0,1;0,56;1,65
189491;13035;XYL;98419M10;31/12/2019;31/12/2019;29/02/2020;0,23;0,13;0,13;0,14;0,62;1,6
187128;13141;WPX;98212B10;31/12/2019;31/12/2019;29/02/2020;0,84;0,14;0,06;0,03;0,46;0,86
199356;13168;TRIP;89694520;31/12/2019;31/12/2019;29/02/2020;0,28;0,15;0,09;0,14;0,41;0,71
170841;13356;PSX;71854610;31/12/2019;31/12/2019;29/02/2020;0,62;0,08;0,1;0,09;0,54;1,27
008264;13688;PCG;69331C10;31/12/2019;31/12/2019;29/02/2020;0,95;0,08;-0,71;0,14;0,94;14,81
008479;13856;PEP;71344810;31/12/2019;31/12/2019;29/02/2020;0,1;0,17;0,4;0,22;0,81;4,31
008543;13901;MO;02209S10;31/12/2019;31/12/2019;29/02/2020;0,12;0,21;-0,08;0,28;0,87;6,9
008549;13928;COP;20825C10;31/12/2019;31/12/2019;29/02/2020;0,56;0,19;0,19;0,13;0,5;1,01
001602;14008;AMGN;03116210;31/12/2019;31/12/2019;29/02/2020;0,07;0,19;0,66;0,22;0,84;5,17
019574;14490;GCI;36472T10;31/12/2019;31/12/2019;29/02/2020;1,2;0,07;-0,14;0,04;0,76;3,09
002991;14541;CVX;16676410;31/12/2019;31/12/2019;29/02/2020;0,7;0,12;0,02;0;0,39;0,64
007017;15069;MRO;56584910;31/12/2019;31/12/2019;29/02/2020;1,14;0,14;0,04;0,02;0,4;0,67
011228;15202;VMC;92916010;31/12/2019;31/12/2019;29/02/2020;0,33;0,12;0,1;0,1;0,47;0,89
023627;15378;LIFE;00212020;31/12/2019;31/12/2019;29/02/2020;1,31;-0,5;-0,86;-0,56;0,42;0,72
010499;15579;TXN;88250810;31/12/2019;31/12/2019;29/02/2020;0,08;0,38;0,56;0,39;0,51;1,02
009846;15720;EIX;28102010;31/12/2019;31/12/2019;29/02/2020;0,67;0,06;0,08;0,07;0,76;3,15
027638;16347;AA;01387210;31/12/2019;31/12/2019;29/02/2020;1,09;0,11;-0,23;0,13;0,6;2,13
005234;16432;GT;38255010;31/12/2019;31/12/2019;29/02/2020;1,23;0,09;-0,07;0,08;0,74;2,91
005597;16600;HSY;42786610;31/12/2019;31/12/2019;29/02/2020;0,06;0,25;0,65;0,28;0,79;3,68
142460;16689;BTU;70455110;31/12/2019;31/12/2019;29/02/2020;2,99;0,1;-0,07;0;0,59;1,48
030098;16692;GDI;36555P10;31/12/2019;31/12/2019;29/02/2020;0,28;0,12;0,08;0,1;0,6;1,48
004060;16851;DD;26614N10;31/12/2019;31/12/2019;29/02/2020;0,94;0,04;-0,01;0,03;0,4;0,68
007241;17005;CVS;12665010;31/12/2019;31/12/2019;29/02/2020;0,74;0,08;0,1;0,09;0,71;2,48
032530;17034;ALTR;02136910;31/12/2019;31/12/2019;29/02/2020;0,14;0,05;-0,02;0,02;0,52;1,08
007163;17478;SPGI;78409V10;31/12/2019;31/12/2019;29/02/2020;0,01;0,33;2,89;0,68;0,75;17,84
006435;17750;KMB;49436810;31/12/2019;31/12/2019;29/02/2020;;0,28;;0,43;0,99;-456,36
010983;17830;UTX;91301710;31/12/2019;31/12/2019;29/02/2020;0,35;0,09;0,13;0,11;0,68;2,28
009850;18411;SO;84258710;31/12/2019;31/12/2019;29/02/2020;0,56;0,07;0,13;0,07;0,73;3,12
034443;18428;DOW;26055710;31/12/2019;31/12/2019;29/02/2020;0,34;0,09;-0,09;0,09;0,77;3,43
002817;18542;CAT;14912310;31/12/2019;31/12/2019;29/02/2020;0,18;0,16;0,41;0,19;0,81;4,38
003170;18729;CL;19416210;31/12/2019;31/12/2019;29/02/2020;0,01;0,31;;0,51;0,96;123,73
035189;18936;PIC;72582K10;31/12/2019;31/12/2019;29/02/2020;0,79;;;;0,04;0,04
004510;19166;FMC;30249130;31/12/2019;31/12/2019;29/02/2020;0,22;0,12;0,17;0,18;0,74;2,89
002403;19393;BMY;11012210;31/12/2019;31/12/2019;29/02/2020;0,4;0,1;0,1;0,11;0,6;1,52
002285;19561;BA;09702310;31/12/2019;31/12/2019;29/02/2020;;0,06;;0,35;1,06;-16,47
001078;20482;ABT;00282410;31/12/2019;31/12/2019;29/02/2020;0,21;0,12;0,11;0,1;0,54;1,18
006774;21178;LMT;53983010;31/12/2019;31/12/2019;29/02/2020;0,03;0,21;2,66;0,52;0,93;14,19
007881;21207;NEM;65163910;31/12/2019;31/12/2019;29/02/2020;0,68;0,12;0,16;0,07;0,44;0,82
006104;21573;IP;46014610;31/12/2019;31/12/2019;29/02/2020;0,57;0,11;0,12;0,1;0,77;3,34
008539;21776;EXC;30161N10;31/12/2019;31/12/2019;29/02/2020;1,01;0,07;0,07;0,07;0,72;2,81
005742;21792;CNP;15189T10;31/12/2019;31/12/2019;29/02/2020;0,77;0,09;0,08;0,08;0,76;3,24
008530;21936;PFE;71708110;31/12/2019;31/12/2019;29/02/2020;0,32;0,12;0,24;0,13;0,62;1,65
006266;22111;JNJ;47816010;31/12/2019;31/12/2019;29/02/2020;0,17;0,18;0,23;0,24;0,62;1,65
003532;22293;GLW;21935010;31/12/2019;31/12/2019;29/02/2020;0,49;0,12;0,08;0,1;0,55;1,23
008247;22509;PPG;69350610;31/12/2019;31/12/2019;29/02/2020;0,18;0,15;0,23;0,19;0,69;2,33
