BoardName;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID;Ticker
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Executive and Risk;Gene Taylor;Member;;Director - SD;Yes;Gene Taylor joined this role in 30 Nov 2017;233;Yes;33294;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Compensation;Vicki Palmer;Chairman;;Independent Director;Yes;Vicki Palmer joined this role in 26 Apr 2016;233;Yes;47101;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Executive and Risk;Vicki Palmer;Member;;Independent Director;Yes;Vicki Palmer joined this role in 2010;233;Yes;47101;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Executive and Risk;David Jordan;Member;;Chairman/President/CEO;Yes;David Jordan joined this role in 2010;233;No;51306;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Audit;Luke Yancy III;Member;;Independent Director;Yes;Luke Yancy III joined this role in 18 Apr 2006;233;Yes;56361;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Compensation;Colin Reed;Member;;Lead Independent Director;Yes;Colin Reed joined this role in 26 Apr 2016;233;Yes;61212;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Executive and Risk;Colin Reed;Chairman;;Lead Independent Director;Yes;Colin Reed joined this role in 26 Apr 2016;233;Yes;61212;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Nominating and Corporate Governance;Doctor Scott Niswonger;Member;CEO(1);Independent Director;Yes;Doctor Scott Niswonger joined this role in 29 Apr 2014;233;Yes;201698;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Nominating and Corporate Governance;Doctor Scott Niswonger;Member;Chairman(3);Independent Director;Yes;Doctor Scott Niswonger joined this role in 29 Apr 2014;233;Yes;201698;FHN
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);01/12/2019;Nominating and Corporate Governance;Doctor Scott Niswonger;Member;Chairman/CEO(2);Independent Director;Yes;Doctor Scott Niswonger joined this role in 29 Apr 2014;233;Yes;201698;FHN
