BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;12;10;83,33%
ABBOTT LABORATORIES;ABT;01/12/2017;13;10;76,92%
ABERCROMBIE & FITCH CO;ANF;01/01/2017;10;9;90,00%
ACCENTURE PLC (Accenture Ltd prior to 09/2009);ACN;01/08/2017;14;11;78,57%
ADOBE INC (Adobe Systems Inc prior to 10/2018);ADBE;01/12/2017;7;6;85,71%
ADVANCED MICRO DEVICES INC (AMD);AMD;01/12/2017;10;9;90,00%
AES CORP (THE);AES;01/12/2017;10;8;80,00%
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/12/2017;12;7;58,33%
AFLAC INC;AFL;01/12/2017;13;9;69,23%
AGILENT TECHNOLOGIES INC;A;01/10/2017;11;10;90,91%
AIR PRODUCTS & CHEMICALS INC;APD;01/09/2017;8;8;100,00%
AIRXPANDERS INC (De-listed 08/2019);AXP;01/12/2017;6;6;100,00%
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;9;7;77,78%
ALCOA CORP;AA;01/12/2017;12;12;100,00%
ALEXION PHARMACEUTICALS INC (De-listed 07/2021);ALXN;01/12/2017;11;10;90,91%
ALLSTATE CORP;ALL;01/12/2017;11;11;100,00%
ALPHABET INC (Google Inc prior to 10/2015);GOOG;01/12/2017;11;6;54,55%
ALTABA INC (Yahoo Inc prior to 06/2017) (De-listed 10/2019);YHOO;01/12/2017;10;10;100,00%
ALTAIR ENGINEERING INC;ALTR;01/12/2017;4;4;100,00%
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2017;12;11;91,67%
AMAZON.COM INC;AMZN;01/12/2017;10;10;100,00%
AMEREN CORP;AEE;01/12/2017;10;10;100,00%
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;12;11;91,67%
AMERICAN EXPRESS CO;AXP;01/12/2017;13;12;92,31%
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;14;14;100,00%
AMERICAN TOWER CORP;AMT;01/12/2017;10;8;80,00%
AMERIGO RESOURCES LTD;ARG;01/12/2017;5;4;80,00%
AMERIPRISE FINANCIAL INC;AMP;01/12/2017;9;6;66,67%
AMGEN INC;AMG;01/12/2017;16;12;75,00%
AMPHENOL CORP;APH;01/12/2017;7;5;71,43%
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;13;12;92,31%
ANALOG DEVICES INC;ADI;01/10/2017;9;8;88,89%
ANDEAVOR (Tesoro Corp prior to 08/2017) (De-listed 10/2018);TSO;01/12/2017;12;11;91,67%
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2017;11;7;63,64%
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2017;10;8;80,00%
APOLLO EDUCATION GROUP INC (Apollo Group Inc prior to 11/2013) (De-listed 02/2017);APOL;01/02/2017;8;8;100,00%
APPLE INC (Apple Computer Inc prior to 01/2007);AAPL;01/09/2017;7;4;57,14%
APPLIED MATERIALS INC;AMAT;01/10/2017;8;8;100,00%
ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2017;13;12;92,31%
ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2017;4;3;75,00%
ASSURANT INC;AIZ;01/12/2017;11;7;63,64%
AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2017;13;11;84,62%
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2017;10;5;50,00%
ATYR PHARMA INC;LIFE;01/12/2017;7;7;100,00%
AUTODESK INC;ADSK;01/01/2017;12;12;100,00%
AUTOMATIC DATA PROCESSING INC (ADP);ADP;01/07/2017;9;8;88,89%
AUTONATION INC;AN;01/12/2017;9;7;77,78%
AUTOZONE INC;AZO;01/08/2017;9;6;66,67%
AVALONBAY COMMUNITIES INC;AVB;01/12/2017;11;8;72,73%
AVERY DENNISON CORP;AVY;01/12/2017;9;9;100,00%
BANK OF AMERICA CORP;BAC;01/12/2017;13;12;92,31%
BANK OF NEW YORK MELLON CORP (THE);BK;01/12/2017;13;11;84,62%
BAXTER INTERNATIONAL INC;BAX;01/12/2017;12;6;50,00%
BECTON DICKINSON & CO;BDX;01/09/2017;12;12;100,00%
BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010);BSX;01/12/2017;4;4;100,00%
BEMIS CO INC (De-listed 06/2019);BMS;01/12/2017;12;11;91,67%
BERKSHIRE HATHAWAY INC;BRK.A;01/12/2017;6;2;33,33%
BEST BUY CO INC;BBY;01/01/2017;10;9;90,00%
BIG LOTS INC;BIG;01/01/2017;8;6;75,00%
BIOGEN INC (Biogen Idec Inc prior to 03/2015);BIIB;01/12/2017;10;2;20,00%
BLACKROCK INC;BLK;01/12/2017;17;10;58,82%
BOEING CO;BA;01/12/2017;14;13;92,86%
BORGWARNER INC;BWA;01/12/2017;11;11;100,00%
BOSTON PROPERTIES INC;BXP;01/12/2017;11;7;63,64%
BOSTON SCIENTIFIC CORP;BSX;01/12/2017;10;10;100,00%
BRISTOL-MYERS SQUIBB CO;BMY;01/12/2017;12;12;100,00%
BROWN FORMAN CORP;BF.A;01/04/2017;9;7;77,78%
BSM TECHNOLOGIES INC (Valu-Net Corp prior to 10/2001) (De-listed 06/2019);GPS;01/09/2017;6;6;100,00%
CA INC (CA Technologies) (De-listed 11/2018);CA;01/03/2017;10;8;80,00%
CALLINEX MINES INC;CNX;01/09/2017;4;3;75,00%
CAMPBELL SOUP CO;CPB;01/07/2017;11;10;90,91%
CANACCORD GENUITY GROUP INC (Canaccord Financial Inc prior to 10/2013);CF;01/03/2017;7;5;71,43%
CANADIAN BANC CORP;BK;01/11/2017;3;3;100,00%
CANAM GROUP INC (Canam Manac Group Inc prior to 01/2005) (De-listed 07/2017);CAM;01/07/2017;8;8;100,00%
CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999);ICE;01/12/2017;6;6;100,00%
CAPITAL ONE FINANCIAL CORP;COF;01/12/2017;10;10;100,00%
CARDINAL HEALTH INC;CLH;01/06/2017;11;9;81,82%
CARMAX INC;KMX;01/02/2017;11;9;81,82%
CARNIVAL CORP;CCL;01/11/2017;11;8;72,73%
CATERPILLAR INC;CAT;01/12/2017;13;9;69,23%
CELGENE CORP (De-listed 11/2019);CELG;01/12/2017;10;5;50,00%
CENTERPOINT ENERGY INC;CNP;01/12/2017;8;8;100,00%
CERNER CORP (De-listed 06/2022);CRE;01/12/2017;8;5;62,50%
CF INDUSTRIES HLDGS INC;CF;01/12/2017;11;5;45,45%
CH ROBINSON WORLDWIDE INC;CHRW;01/12/2017;8;7;87,50%
CHARLES SCHWAB CORP;SCHW;01/12/2017;14;6;42,86%
CHEVRON CORP;CVX;01/12/2017;11;11;100,00%
CHIPOTLE MEXICAN GRILL INC;CMG;01/12/2017;10;9;90,00%
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;16;13;81,25%
CINCINNATI FINANCIAL CORP;CINF;01/12/2017;15;8;53,33%
CINTAS CORP;CTAS;01/05/2017;9;8;88,89%
CISCO SYSTEMS INC;CSCO;01/07/2017;11;6;54,55%
CITIGROUP INC;C;01/12/2017;17;17;100,00%
CITRIX SYSTEMS INC (De-listed 09/2022);CTXS;01/12/2017;8;7;87,50%
CLEAN SEED CAPITAL GROUP LTD;CSX;01/06/2017;4;4;100,00%
CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);CLF;01/12/2017;10;10;100,00%
CLOROX COMPANY (THE);CXX;01/06/2017;13;13;100,00%
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);CME;01/12/2017;23;10;43,48%
CMS ENERGY CORP;CMS;01/12/2017;11;11;100,00%
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2017;12;12;100,00%
COCA-COLA CO;KO;01/12/2017;14;10;71,43%
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2017;13;11;84,62%
COLGATE-PALMOLIVE CO;CL;01/12/2017;10;9;90,00%
COLOURED TIES CAPITAL INC (Growmax Resources Corp prior to 11/2021);TIE;01/12/2017;5;5;100,00%
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2017;12;11;91,67%
COMERICA INC;CMA;01/12/2017;11;6;54,55%
COMMERCE RESOURCES CORP;CCE;01/10/2017;4;3;75,00%
COMPUTER MODELLING GROUP LTD;CMG;01/03/2017;5;5;100,00%
CONAGRA BRANDS INC (Conagra Foods Inc prior to 11/2016);CAG;01/05/2017;14;11;78,57%
CONOCOPHILLIPS COMPANY;COP;01/12/2017;12;12;100,00%
CONSOLIDATED EDISON INC;ED;01/12/2017;12;6;50,00%
CONSTELLATION BRANDS INC;STZ;01/02/2017;9;8;88,89%
CORNING INC;GLW;01/12/2017;13;10;76,92%
COSTCO WHOLESALE CORP;COST;01/09/2017;6;3;50,00%
COVALON TECHNOLOGIES LTD (Seder Capital Corp prior to 12/2004);COV;01/09/2017;7;7;100,00%
CR BARD INC (De-listed 12/2017);BCR;01/12/2017;10;10;100,00%
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2017;10;6;60,00%
CSX CORP;CSX;01/12/2017;18;14;77,78%
CUMMINS INC;CMI;01/12/2017;11;9;81,82%
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2017;12;7;58,33%
DANAHER CORP;DHR;01/12/2017;11;6;54,55%
DARDEN RESTAURANTS INC;DRI;01/05/2017;10;10;100,00%
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2017;10;8;80,00%
DEAN FOODS CO (Suiza Foods prior to 12/2001) (De-listed 11/2019);DF;01/12/2017;9;9;100,00%
DEERE & CO;DE;01/10/2017;12;11;91,67%
DELL TECHNOLOGIES INC;DELL;01/02/2017;5;5;100,00%
DENTSPLY SIRONA INC (DENTSPLY International Inc prior to 02/2016);XRAY;01/12/2017;11;8;72,73%
DEVON ENERGY CORP;DVN;01/12/2017;7;6;85,71%
DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2017;11;7;63,64%
DOLLAR TREE INC;DLTR;01/01/2017;9;5;55,56%
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2017;12;9;75,00%
DOVER CORP;DOV;01/12/2017;12;6;50,00%
DOW CHEMICAL CO (De-listed 08/2017);DOW;01/08/2017;12;11;91,67%
DR HORTON INC;DHI;01/09/2017;5;1;20,00%
