BoardName;Ticker;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID;TenureSince
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;Audit;Luke Yancy III;Member;;Independent Director;Yes;Luke Yancy III joined this role in 18 Apr 2006;233;Yes;56361;
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;Audit;John Compton;Member;;Independent Director;Yes;John Compton joined this role in 29 Apr 2014;233;Yes;485991;
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;Audit;Cece Stewart;Member;;Independent Director;Yes;Cece Stewart joined this role in 20 Oct 2014;233;Yes;532978;
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;Audit;Raj Subramaniam;Member;;Independent Director;Yes;Raj Subramaniam joined this role in 25 Jul 2016;233;Yes;547132;
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;Audit;Mark Emkes;Chairman / Financial Expert;;Independent Director;Yes;Mark Emkes joined this role in 29 Apr 2014;233;Yes;598798;
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;Audit;Cory Gilchrist;Member;;Independent Director;Yes;Cory Gilchrist joined this role in 16 Jul 2012;233;Yes;652573;
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;Audit;Peter Foss;Member;;Independent Director;Yes;Peter Foss joined this role in 30 Nov 2017;233;Yes;1089974;
FIFTH THIRD BANCORP;FITB;01/12/2017;Audit;Emerson Brumback;Chairman / Financial Expert;;Independent Director;Yes;Emerson Brumback joined this role in 15 Apr 2014;324;Yes;46776;
FIFTH THIRD BANCORP;FITB;01/12/2017;Audit;Marsha Williams;Financial Expert;Executive VP/CFO(1);Independent Chairman;Yes;Marsha Williams departed in 18 Apr 2017;324;Yes;201578;
FIFTH THIRD BANCORP;FITB;01/12/2017;Audit;Jewell Hoover;Member;;Independent Director;Yes;Jewell Hoover joined this role in 20 Apr 2010;324;Yes;496307;
FIFTH THIRD BANCORP;FITB;01/12/2017;Audit;Jerry Burris;Member;;Independent Director;Yes;Jerry Burris joined this role in 20 Dec 2016;324;Yes;545206;
FIFTH THIRD BANCORP;FITB;01/12/2017;Audit;Katie Blackburn;Member;;Independent Director;Yes;Katie Blackburn joined this role in 14 Apr 2015;324;Yes;1487266;
ABBOTT LABORATORIES;ABT;01/12/2017;Audit;Nancy McKinstry;Member;;Independent Director;Yes;Nancy McKinstry joined this role in 27 Apr 2012;428;Yes;25615;
ABBOTT LABORATORIES;ABT;01/12/2017;Audit;Glenn Tilton;Member;;Independent Director;Yes;Glenn Tilton joined this role in 27 Apr 2007;428;Yes;33296;
ABBOTT LABORATORIES;ABT;01/12/2017;Audit;Roxanne Austin;Member;;Independent Director;Yes;Roxanne Austin joined this role in 28 Apr 2017;428;Yes;33450;
ABBOTT LABORATORIES;ABT;01/12/2017;Audit;Ed Liddy;Chairman / Financial Expert;;Independent Director;Yes;Ed Liddy joined this role in 28 Apr 2017;428;Yes;33916;
ABBOTT LABORATORIES;ABT;01/12/2017;Audit;Sam Scott III;Member;;Independent Director;Yes;Sam Scott III joined this role in 27 Apr 2007;428;Yes;35330;
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;Audit;Doctor Jim Cash Jr;Financial Expert;;Independent Director;Yes;Doctor Jim Cash Jr joined this role in 14 Jan 2016;616;Yes;31669;
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;Audit;Mike Atieh;Chairman / Financial Expert;;Independent Director;Outside;Mike Atieh joined this role in 16 May 2012;616;Yes;38036;
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;Audit;David Sidwell;Financial Expert;CFO(1);Independent Director;Yes;David Sidwell joined this role in 15 May 2014;616;Yes;203786;
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;Audit;David Sidwell;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;David Sidwell joined this role in 15 May 2014;616;Yes;203786;
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;Audit;Kimberly Ross;Financial Expert;Executive VP/CFO(4);Independent Director;Yes;Kimberly Ross joined this role in 15 May 2014;616;Yes;488191;
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;Audit;Ted Shasta;Financial Expert;;Independent Director;Yes;Ted Shasta joined this role in 19 May 2010;616;Yes;1009328;
ADOBE INC (Adobe Systems Inc prior to 10/2018);ADBE;01/12/2017;Audit;James Daley;Financial Expert;Executive VP/CFO(1);Lead Independent Director;Yes;James Daley joined this role in 09 Apr 2015;808;Yes;35535;
ADOBE INC (Adobe Systems Inc prior to 10/2018);ADBE;01/12/2017;Audit;Frank Calderoni;Chairman / Financial Expert;Executive VP/CFO(2);Independent Director;Yes;Frank Calderoni joined this role in 09 Apr 2015;808;Yes;62702;
ADOBE INC (Adobe Systems Inc prior to 10/2018);ADBE;01/12/2017;Audit;Frank Calderoni;Chairman / Financial Expert;VP/CFO(1);Independent Director;Yes;Frank Calderoni joined this role in 09 Apr 2015;808;Yes;62702;
ADOBE INC (Adobe Systems Inc prior to 10/2018);ADBE;01/12/2017;Audit;Rob Burgess;Financial Expert;;Independent Director;Yes;Rob Burgess joined this role in 20 Apr 2011;808;Yes;182352;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);AET;01/12/2017;Audit;Ellen Hancock;Financial Expert;;Independent Director;Yes;Ellen Hancock joined this role in 25 Apr 2003;989;Yes;34542;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/12/2017;Audit;Ellen Hancock;Financial Expert;;Independent Director;Yes;Ellen Hancock joined this role in 25 Apr 2003;989;Yes;34542;
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);AET;01/12/2017;Audit;Doctor Joseph Newhouse;Financial Expert;;Independent Director;Outside;Doctor Joseph Newhouse joined this role in 25 Apr 2003;989;Yes;50486;
