BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2019;6;6;5;100,00%;83,33%
ABBOTT LABORATORIES;ABT;01/12/2019;6;3;1;50,00%;16,67%
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;9;8;5;88,89%;55,56%
ALCOA CORP;AA;01/12/2019;4;4;4;100,00%;100,00%
ALLSTATE CORP;ALL;01/12/2019;4;4;3;100,00%;75,00%
ALPHABET INC (Google Inc prior to 10/2015);GOOG;01/12/2019;3;2;1;66,67%;33,33%
ALPHABET INC (Google Inc prior to 10/2015);GOOGL;01/12/2019;3;2;1;66,67%;33,33%
ALTAIR ENGINEERING INC;ALTR;01/12/2019;4;3;2;75,00%;50,00%
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2019;5;3;2;60,00%;40,00%
AMAZON.COM INC;AMZN;01/12/2019;4;4;4;100,00%;100,00%
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;11;9;11;81,82%;100,00%
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;9;9;5;100,00%;55,56%
AMERICAN TOWER CORP;AMT;01/12/2019;4;3;4;75,00%;100,00%
AMERIGO RESOURCES LTD;ARG;01/12/2019;4;0;0;0,00%;0,00%
AMERIPRISE FINANCIAL INC;AMP;01/12/2019;4;4;3;100,00%;75,00%
AMGEN INC;AMG;01/12/2019;8;7;4;87,50%;50,00%
AMGEN INC;AMGN;01/12/2019;8;7;4;87,50%;50,00%
AMPHENOL CORP;APH;01/12/2019;6;5;4;83,33%;66,67%
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2019;6;4;3;66,67%;50,00%
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;5;4;5;80,00%;100,00%
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);AIV;01/12/2019;8;2;7;25,00%;87,50%
ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2019;6;4;1;66,67%;16,67%
ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2019;4;3;0;75,00%;0,00%
ASSURANT INC;AIZ;01/12/2019;7;5;5;71,43%;71,43%
AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2019;4;3;2;75,00%;50,00%
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;6;5;2;83,33%;33,33%
ATYR PHARMA INC;LIFE;01/12/2019;4;4;1;100,00%;25,00%
AUTONATION INC;AN;01/12/2019;6;5;5;83,33%;83,33%
AVALONBAY COMMUNITIES INC;AVB;01/12/2019;5;5;3;100,00%;60,00%
BANK OF AMERICA CORP;BAC;01/12/2019;10;10;10;100,00%;100,00%
BANK OF NEW YORK MELLON CORP (THE);BK;01/12/2019;6;6;3;100,00%;50,00%
BAXTER INTERNATIONAL INC;BAX;01/12/2019;6;5;4;83,33%;66,67%
BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010);BSX;01/12/2019;6;6;0;100,00%;0,00%
BERKSHIRE HATHAWAY INC;BRK.A;01/12/2019;5;3;3;60,00%;60,00%
BERKSHIRE HATHAWAY INC;BRK.B;01/12/2019;5;3;3;60,00%;60,00%
BIOGEN INC (Biogen Idec Inc prior to 03/2015);BIIB;01/12/2019;6;4;5;66,67%;83,33%
BLACKROCK INC;BLK;01/12/2019;7;5;6;71,43%;85,71%
BOEING CO;BA;01/12/2019;8;7;4;87,50%;50,00%
BORGWARNER INC;BWA;01/12/2019;5;3;3;60,00%;60,00%
BOSTON PROPERTIES INC;BXP;01/12/2019;4;3;2;75,00%;50,00%
BOSTON SCIENTIFIC CORP;BSX;01/12/2019;5;5;5;100,00%;100,00%
BRISTOL-MYERS SQUIBB CO;BMY;01/12/2019;6;6;6;100,00%;100,00%
CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999);ICE;01/12/2019;3;3;0;100,00%;0,00%
CAPITAL ONE FINANCIAL CORP;COF;01/12/2019;5;5;2;100,00%;40,00%
CATERPILLAR INC;CAT;01/12/2019;4;3;4;75,00%;100,00%
CENTERPOINT ENERGY INC;CNP;01/12/2019;4;4;1;100,00%;25,00%
CERNER CORP (De-listed 06/2022);CERN;01/12/2019;5;3;1;60,00%;20,00%
CERNER CORP (De-listed 06/2022);CRE;01/12/2019;5;3;1;60,00%;20,00%
CF INDUSTRIES HLDGS INC;CF;01/12/2019;6;2;6;33,33%;100,00%
CH ROBINSON WORLDWIDE INC;CHRW;01/12/2019;5;4;5;80,00%;100,00%
CHARLES SCHWAB CORP;SCHW;01/12/2019;5;4;5;80,00%;100,00%
CHEVRON CORP;CVX;01/12/2019;4;4;4;100,00%;100,00%
CHIPOTLE MEXICAN GRILL INC;CMG;01/12/2019;5;2;1;40,00%;20,00%
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2019;6;5;6;83,33%;100,00%
CINCINNATI FINANCIAL CORP;CINF;01/12/2019;11;6;5;54,55%;45,45%
CITIGROUP INC;C;01/12/2019;11;11;9;100,00%;81,82%
CITRIX SYSTEMS INC (De-listed 09/2022);CTX;01/12/2019;6;6;4;100,00%;66,67%
CITRIX SYSTEMS INC (De-listed 09/2022);CTXS;01/12/2019;6;6;4;100,00%;66,67%
CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);CLF;01/12/2019;5;5;3;100,00%;60,00%
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);CME;01/12/2019;8;4;3;50,00%;37,50%
CMS ENERGY CORP;CMS;01/12/2019;6;6;6;100,00%;100,00%
CMS ENERGY CORP;CSG;01/12/2019;6;6;6;100,00%;100,00%
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2019;4;4;4;100,00%;100,00%
COCA-COLA CO;KO;01/12/2019;4;4;2;100,00%;50,00%
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2019;10;9;5;90,00%;50,00%
COLGATE-PALMOLIVE CO;CL;01/12/2019;7;7;7;100,00%;100,00%
COLOURED TIES CAPITAL INC (Growmax Resources Corp prior to 11/2021);TIE;01/12/2019;9;9;0;100,00%;0,00%
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2019;4;4;2;100,00%;50,00%
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2019;4;4;2;100,00%;50,00%
COMERICA INC;CMA;01/12/2019;9;5;6;55,56%;66,67%
CONSOLIDATED EDISON INC;ED;01/12/2019;6;5;5;83,33%;83,33%
CONTACT GOLD CORP (Winwell Ventures Inc prior to 06/2017) (De-listed 05/2024);C;01/12/2019;6;6;0;100,00%;0,00%
CORNING INC;GLW;01/12/2019;10;9;7;90,00%;70,00%
CRESCO LABS INC;CL;01/12/2019;3;3;1;100,00%;33,33%
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2019;4;4;4;100,00%;100,00%
CSX CORP;CSX;01/12/2019;7;5;3;71,43%;42,86%
CUMMINS INC;CMI;01/12/2019;6;4;1;66,67%;16,67%
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2019;6;3;5;50,00%;83,33%
DANAHER CORP;DHR;01/12/2019;5;2;4;40,00%;80,00%
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2019;4;4;3;100,00%;75,00%
DEVON ENERGY CORP;DVN;01/12/2019;5;2;1;40,00%;20,00%
DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2019;4;4;4;100,00%;100,00%
DOLLY VARDEN SILVER CORP;DV;01/12/2019;3;3;0;100,00%;0,00%
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2019;6;6;6;100,00%;100,00%
DOVER CORP;DOV;01/12/2019;4;4;4;100,00%;100,00%
DOW INC;DOW;01/12/2019;5;5;5;100,00%;100,00%
DTE ENERGY CO;DTE;01/12/2019;5;3;3;60,00%;60,00%
DUKE ENERGY CORP;DUK;01/12/2019;7;5;7;71,43%;100,00%
DUPONT DE NEMOURS INC (Dowdupont Inc prior to 06/2019);DD;01/12/2019;13;13;9;100,00%;69,23%
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2019;7;6;3;85,71%;42,86%
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2019;7;6;3;85,71%;42,86%
EASTMAN CHEMICAL CO;EMN;01/12/2019;7;3;5;42,86%;71,43%
EATON CORP PLC (Eaton Corp prior to 11/2012);ETN;01/12/2019;7;6;6;85,71%;85,71%
EBAY INC;EBAY;01/12/2019;3;2;1;66,67%;33,33%
ECOLAB INC;ECL;01/12/2019;8;8;5;100,00%;62,50%
EDISON INTERNATIONAL;EIX;01/12/2019;5;5;4;100,00%;80,00%
EDWARDS LIFESCIENCES CORP;EW;01/12/2019;3;2;3;66,67%;100,00%
ELI LILLY & CO;LLY;01/12/2019;8;7;5;87,50%;62,50%
ENERFLEX LTD;EFX;01/12/2019;4;4;0;100,00%;0,00%
ENTERGY CORP;ETR;01/12/2019;5;5;2;100,00%;40,00%
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2019;9;4;4;44,44%;44,44%
EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2019;7;7;4;100,00%;57,14%
EQUIFAX INC;EFX;01/12/2019;4;4;4;100,00%;100,00%
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2019;7;6;4;85,71%;57,14%
EXELON CORP;EXC;01/12/2019;5;4;5;80,00%;100,00%
EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);EXPE;01/12/2019;3;2;2;66,67%;66,67%
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2019;5;5;2;100,00%;40,00%
EXXON MOBIL CORP;XOM;01/12/2019;3;3;3;100,00%;100,00%
FASTENAL CO;FAST;01/12/2019;6;5;3;83,33%;50,00%
FENNEC PHARMACEUTICALS INC (Adherex Technologies Inc prior to 09/2014);FRX;01/12/2019;3;3;1;100,00%;33,33%
FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);FIS;01/12/2019;8;7;6;87,50%;75,00%
FIFTH THIRD BANCORP;FITB;01/12/2019;6;3;1;50,00%;16,67%
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;7;6;2;85,71%;28,57%
FIRST SOLAR INC;FSLR;01/12/2019;5;3;1;60,00%;20,00%
FIRSTENERGY CORP;FE;01/12/2019;6;6;5;100,00%;83,33%
FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2019;5;2;5;40,00%;100,00%
FLOWSERVE CORP;FLS;01/12/2019;7;6;3;85,71%;42,86%
FLUOR CORP;FLR;01/12/2019;7;7;3;100,00%;42,86%
FMC CORP;FMC;01/12/2019;5;3;3;60,00%;60,00%
FORD MOTOR CO;F;01/12/2019;5;3;2;60,00%;40,00%
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2019;5;5;5;100,00%;100,00%
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2019;5;5;2;100,00%;40,00%
GANNETT CO INC (New Media Investment Group Inc prior to 11/2019);GCI;01/12/2019;8;8;4;100,00%;50,00%
GENERAL DYNAMICS CORP;GD;01/12/2019;7;4;4;57,14%;57,14%
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2019;14;12;14;85,71%;100,00%
GENERAL ELECTRIC CO (GE Aerospace);GEC;01/12/2019;14;12;14;85,71%;100,00%
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2019;14;12;14;85,71%;100,00%
GENUINE PARTS CO;GPC;01/12/2019;7;5;6;71,43%;85,71%
GENWORTH FINANCIAL INC;GNW;01/12/2019;5;2;5;40,00%;100,00%
GILEAD SCIENCES INC;GILD;01/12/2019;4;3;3;75,00%;75,00%
GOLDMAN SACHS GROUP INC;GS;01/12/2019;4;4;1;100,00%;25,00%
GOODYEAR TIRE & RUBBER CO;GT;01/12/2019;6;5;2;83,33%;33,33%
HALLIBURTON CO;HAL;01/12/2019;6;3;5;50,00%;83,33%
HARTFORD FINANCIAL SERVICES GROUP INC;HIG;01/12/2019;6;5;6;83,33%;100,00%
HASBRO INC;HAS;01/12/2019;6;6;5;100,00%;83,33%
HERSHEY CO (THE);HSY;01/12/2019;7;7;3;100,00%;42,86%
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;6;6;3;100,00%;50,00%
HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);HON;01/12/2019;7;6;4;85,71%;57,14%
HOST HOTELS & RESORTS INC;HST;01/12/2019;7;7;7;100,00%;100,00%
HPQ SILICON INC (HPQ Silicon Resources Inc prior to 07/2022);HPQ;01/12/2019;3;3;0;100,00%;0,00%
HUMANA INC;HUM;01/12/2019;3;1;2;33,33%;66,67%
HUNTINGTON BANCSHARES INC;HBAN;01/12/2019;3;2;3;66,67%;100,00%
ILLINOIS TOOL WORKS INC (ITW);ITW;01/12/2019;5;5;2;100,00%;40,00%
