BoardName;Ticker;AnnualReportDate;CommitteeName;DirectorName;CommitteeRoleName;FunctionalExperience;BoardRole;BrdPosition;DirRoleStatus;BoardID;NED;DirectorID
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;Audit;Luke Yancy III;Member;;Independent Director;Yes;Luke Yancy III joined this role in 18 Apr 2006;233;Yes;56361
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;Audit;Jaycox Davidson;Member;;Independent Director;Yes;Jaycox Davidson joined this role in 28 Jan 2019;233;Yes;514070
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;Audit;Cece Stewart;Member;;Independent Director;Yes;Cece Stewart joined this role in 20 Oct 2014;233;Yes;532978
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;Audit;Raj Subramaniam;Member;;Independent Director;Yes;Raj Subramaniam departed in 23 Apr 2019;233;Yes;547132
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;Audit;Mark Emkes;Chairman / Financial Expert;;Independent Director;Yes;Mark Emkes joined this role in 29 Apr 2014;233;Yes;598798
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;Audit;Peter Foss;Member;;Independent Director;Yes;Peter Foss joined this role in 30 Nov 2017;233;Yes;1089974
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;Audit;Ken Burdick;Financial Expert;;Independent Director;Yes;Ken Burdick joined this role in 28 Jan 2019;233;Yes;1126568
FIFTH THIRD BANCORP;FITB;01/12/2019;Audit;Emerson Brumback;Chairman / Financial Expert;;Independent Director;Yes;Emerson Brumback joined this role in 15 Apr 2014;324;Yes;46776
FIFTH THIRD BANCORP;FITB;01/12/2019;Audit;Jewell Hoover;Member;;Independent Director;Yes;Jewell Hoover joined this role in 20 Apr 2010;324;Yes;496307
FIFTH THIRD BANCORP;FITB;01/12/2019;Audit;Jerry Burris;Member;;Independent Director;Yes;Jerry Burris joined this role in 20 Dec 2016;324;Yes;545206
FIFTH THIRD BANCORP;FITB;01/12/2019;Audit;Eileen Mallesch;Member;VP/CFO(1);Independent Director;Yes;Eileen Mallesch joined this role in Sep 2018;324;Yes;833224
FIFTH THIRD BANCORP;FITB;01/12/2019;Audit;Charles Daniels;Member;;Independent Director;Yes;Charles Daniels joined this role in 16 Sep 2019;324;Yes;891968
FIFTH THIRD BANCORP;FITB;01/12/2019;Audit;Jorge Benitez;Member;;Independent Director;Yes;Jorge Benitez joined this role in Sep 2018;324;Yes;1121140
ABBOTT LABORATORIES;ABT;01/12/2019;Audit;Nancy McKinstry;Member;;Independent Director;Yes;Nancy McKinstry joined this role in 27 Apr 2012;428;Yes;25615
ABBOTT LABORATORIES;ABT;01/12/2019;Audit;Glenn Tilton;Member;;Independent Director;Yes;Glenn Tilton joined this role in 27 Apr 2007;428;Yes;33296
ABBOTT LABORATORIES;ABT;01/12/2019;Audit;Roxanne Austin;Member;;Independent Director;Yes;Roxanne Austin joined this role in 28 Apr 2017;428;Yes;33450
ABBOTT LABORATORIES;ABT;01/12/2019;Audit;Ed Liddy;Chairman / Financial Expert;;Independent Director;Yes;Ed Liddy joined this role in 28 Apr 2017;428;Yes;33916
ABBOTT LABORATORIES;ABT;01/12/2019;Audit;Sam Scott III;Member;;Independent Director;Yes;Sam Scott III joined this role in 27 Apr 2007;428;Yes;35330
ABBOTT LABORATORIES;ABT;01/12/2019;Audit;Michelle Kumbier;Member;;Independent Director;Yes;Michelle Kumbier joined this role in 2018;428;Yes;891711
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2019;Audit;Doctor Jim Cash Jr;Financial Expert;;Independent Director;Yes;Doctor Jim Cash Jr joined this role in 14 Jan 2016;616;Yes;31669
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2019;Audit;David Sidwell;Financial Expert;CFO(1);Independent Director;Yes;David Sidwell joined this role in 15 May 2014;616;Yes;203786
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2019;Audit;David Sidwell;Financial Expert;Executive VP/CFO(1);Independent Director;Yes;David Sidwell joined this role in 15 May 2014;616;Yes;203786
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2019;Audit;Bob Scully;Chairman / Financial Expert;;Independent Director;Yes;Bob Scully joined this role in 17 May 2018;616;Yes;373551
