Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
3M CO;7435;22592;88579Y10;MMM;31/12/2019;6;6;5;1;0,8333;0,1;0,21;0,45;0,25;0,77;3,43;USD;44659;1699;7068;8661;16993;4570;32136;A
ABBOTT LABORATORIES;1078;20482;00282410;ABT;31/12/2019;6;3;1;0,5;0,1667;0,21;0,12;0,11;0,1;0,54;1,18;USD;67887;1638;5041;8055;19955;3687;31904;A
AKAMAI TECHNOLOGIES INC;125595;87299;00971T10;AKAM;31/12/2019;9;8;5;0,8889;0,5556;0,26;0,16;0,14;0,11;0,48;0,92;USD;7006,89;562,08;583,52;989,75;2195,06;478,04;2893,62;A
ALCOA CORP;27638;16347;01387210;AA;31/12/2019;4;4;4;1;1;1,09;0,11;-0,23;0,13;0,6;2,13;USD;14631;379;894;1607;1912;-1125;10433;A
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2019;4;4;3;1;0,75;0,69;0,06;0,22;0,23;0,78;3,6;USD;119950;;;;;;;A
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2019;4;4;3;1;0,75;0,69;0,06;0,22;0,23;0,78;3,6;USD;119950;433;6671;7129;7129;4847;44675;A
ALTAIR ENGINEERING INC;32530;17034;02136910;ALTR;31/12/2019;4;3;2;0,75;0,5;0,14;0,05;-0,02;0,02;0,52;1,08;USD;743,15;9,66;10,25;31,77;337,51;-7,54;463,03;A
ALTRIA GROUP INC;8543;13901;02209S10;MO;31/12/2019;5;3;2;0,6;0,4;0,12;0,21;-0,08;0,28;0,87;6,9;USD;49271;246;10533;10759;12895;-1293;19796;A
AMAZON.COM INC;64768;84788;02313510;AMZN;31/12/2019;4;4;4;1;1;0,07;0,15;0,22;0,12;0,72;2,63;USD;225248;16861;14177;29892;130136;11588;280522;A
AMERICAN ELECTRIC POWER CO;1440;24109;02553710;AEP;31/12/2019;11;9;11;0,8182;1;0,59;0,07;0,07;0,05;0,74;2,84;USD;75892,3;6143,7;2592,3;5106,8;5106,8;1921,1;15561,4;A
AMERICAN INTERNATIONAL GROUP;1487;66800;02687478;AIG;31/12/2019;9;9;5;1;0,5556;1,46;0,02;0,05;0,07;0,87;6,97;USD;525064;;;;;;;A
AMERICAN INTERNATIONAL GROUP;1487;66800;02687478;AIG;31/12/2019;9;9;5;1;0,5556;1,46;0,02;0,05;0,07;0,87;6,97;USD;525064;0;6617;11623;11623;3348;49310;A
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2019;4;4;3;1;0,75;0,28;0,02;0,33;0,21;0,96;25,5;USD;151828;;;;;;;A
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2019;4;4;3;1;0,75;0,28;0,02;0,33;0,21;0,96;25,5;USD;151828;143;2243;2427;5700;1893;12886;A
AMGEN INC;1602;14008;03116210;AMGN;31/12/2019;8;7;4;0,875;0,5;0,07;0,19;0,66;0,22;0,84;5,17;USD;59707;618;9721;11756;21041;7842;23362;A
AMPHENOL CORP;14282;84769;03209510;APH;31/12/2019;6;5;4;0,8333;0,6667;0,15;0,19;0,25;0,2;0,58;1,37;USD;10815,5;295;1628,9;1936,2;2907,6;1155;8225,4;A
APA CORP;1678;39490;03741110;APA;31/12/2019;5;4;5;0,8;1;0,37;0,05;-0,64;-0,19;0,72;4,02;USD;18107;2961;-2627;928;1520;-3553;6280;A
ARCHER-DANIELS-MIDLAND CO;1722;10516;03948310;ADM;31/12/2019;6;4;1;0,6667;0,1667;0,79;0,06;0,07;0,06;0,56;1,29;USD;43997;828;1671;2663;5139;1379;64656;A
AUTONATION INC;9063;76282;05329W10;AN;31/12/2019;4;3;0;0,75;0;0,76;0,09;0,15;0,09;0,7;2,33;USD;10543,3;269,3;798,5;979;3523;450;21335,7;A
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2019;7;5;5;0,7143;0,7143;0,68;0,05;0,08;0,1;0,87;6,5;USD;44291,2;;;;;;;A
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2019;7;5;5;0,7143;0,7143;0,68;0,05;0,08;0,1;0,87;6,5;USD;44291,2;110,3;906,3;2151,2;2151,2;382,6;10086,8;A
AT&T INC;9899;66093;00206R10;T;31/12/2019;4;3;2;0,75;0,5;0,86;0,11;0,06;0,08;0,63;1,9;USD;551669;19635;31069;59286;97124;13903;181265;A
ATI INC -NEW;10405;43123;01741R10;ATI;31/12/2019;6;5;2;0,8333;0,3333;0,81;0,1;0,13;0,11;0,61;1,65;USD;5634,6;168,2;370,6;531,2;798,4;257,6;4122,5;A
AUTONATION INC;9063;76282;05329W10;AN;31/12/2019;6;5;5;0,8333;0,8333;0,76;0,09;0,15;0,09;0,7;2,33;USD;10543,3;269,3;798,5;979;3523;450;21335,7;A
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2019;10;10;10;1;1;0,78;0,02;0,11;0,07;0,89;8,19;USD;2434079;;;;;;;A
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2019;10;10;10;1;1;0,78;0,02;0,11;0,07;0,89;8,19;USD;2434079;0;47360;49089;87654;27430;113589;A
BANK OF NEW YORK MELLON CORP;2019;49656;06405810;BK;31/12/2019;6;6;3;1;0,5;0,89;0,02;0,11;0,09;0,89;8,19;USD;381508;;;;;;;A
BANK OF NEW YORK MELLON CORP;2019;49656;06405810;BK;31/12/2019;6;6;3;1;0,5;0,89;0,02;0,11;0,09;0,89;8,19;USD;381508;1210;7730;9045;15672;4441;20007;A
BAXTER INTERNATIONAL INC;2086;27887;07181310;BAX;31/12/2019;6;5;4;0,8333;0,6667;0,19;0,16;0,12;0,15;0,57;1,3;USD;18193;696;1937;2726;5705;1001;11362;A
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2019;6;6;0;1;0;0,23;0,12;0,4;0,1;0,55;1,2;USD;30565;461;2070;3080;8016;4700;10735;A
BIOGEN INC;24468;76841;09062X10;BIIB;31/12/2019;6;4;5;0,6667;0,8333;0,31;0,3;0,38;0,39;0,51;1,04;USD;27234,3;514,5;7503,4;7968;12613,1;5888,5;14377,9;A
