Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
7435;22592;88579Y10;3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2018;5;5;4;100,00%;80,00%;31/12/2018;31/12/2018;28/02/2019;0,09;0,25;0,49;0,31;0,73;2,72
1078;20482;00282410;ABBOTT LABORATORIES;ABT;01/12/2018;6;3;1;50,00%;16,67%;31/12/2018;31/12/2018;28/02/2019;0,26;0,11;0,07;0,08;0,54;1,19
125595;87299;00971T10;AKAMAI TECHNOLOGIES INC;AKAM;01/12/2018;7;6;1;85,71%;14,29%;31/12/2018;31/12/2018;28/02/2019;0,32;0,17;0,09;0,1;0,42;0,71
27638;16347;01387210;ALCOA CORP;AA;01/12/2018;4;4;4;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;1,15;0,18;0,04;0,36;0,54;1,59
28349;79323;02000210;ALLSTATE CORP;ALL;01/12/2018;5;5;4;100,00%;80,00%;31/12/2018;31/12/2018;28/02/2019;0,72;0,03;0,11;0,11;0,81;4,25
160329;90319;02079K30;ALPHABET INC (Google Inc prior to 10/2015);GOOGL;01/12/2018;3;2;1;66,67%;33,33%;31/12/2018;31/12/2018;28/02/2019;0,25;0,19;0,19;0,19;0,24;0,31
32530;17034;02136910;ALTAIR ENGINEERING INC;ALTR;01/12/2018;5;3;2;60,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,15;0,12;0,09;0,17;0,4;0,67
8543;13901;02209S10;ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2018;5;4;2;80,00%;40,00%;31/12/2018;31/12/2018;28/02/2019;0,22;0,2;0,34;0,28;0,73;2,76
64768;84788;02313510;AMAZON.COM INC;AMZN;01/12/2018;3;3;3;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,06;0,17;0,27;0,15;0,73;2,73
1440;24109;02553710;AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2018;9;7;9;77,78%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,71;0,08;0,07;0,06;0,72;2,6
1487;66800;02687478;AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2018;7;7;5;100,00%;71,43%;31/12/2018;31/12/2018;28/02/2019;1,66;0,02;0;0,02;0,88;7,71
164708;90880;03076C10;AMERIPRISE FINANCIAL INC;AMP;01/12/2018;4;4;3;100,00%;75,00%;31/12/2018;31/12/2018;28/02/2019;0,39;0,02;0,36;0,25;0,96;23,56
1602;14008;03116210;AMGEN INC;AMGN;01/12/2018;9;7;5;77,78%;55,56%;31/12/2018;31/12/2018;28/02/2019;0,11;0,17;0,42;0,2;0,81;4,31
14282;84769;03209510;AMPHENOL CORP;APH;01/12/2018;4;3;2;75,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,18;0,2;0,28;0,22;0,6;1,49
11923;70332;03251110;ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2018;7;7;1;100,00%;14,29%;31/12/2018;31/12/2018;28/02/2019;0,51;0,16;0,05;0,09;0,73;3,46
1678;39490;03741110;APA CORP (Apache Corp prior to 03/2021);APA;01/12/2018;5;3;5;60,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,76;0,19;0,01;0,1;0,59;1,79
1722;10516;03948310;ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2018;5;5;1;100,00%;20,00%;31/12/2018;31/12/2018;28/02/2019;0,88;0,07;0,09;0,08;0,53;1,15
9063;76282;05329W10;ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2018;5;4;0;80,00%;0,00%;31/12/2018;31/12/2018;28/02/2019;0,87;0,09;0,15;0,08;0,75;2,93
157057;90038;04621X10;ASSURANT INC;AIZ;01/12/2018;5;4;5;80,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,87;0,04;0,06;0,08;0,88;6,66
9899;66093;00206R10;AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2018;4;4;2;100,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;1,16;0,12;0,09;0,08;0,64;1,84
10405;43123;01741R10;ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2018;4;3;1;75,00%;25,00%;31/12/2018;31/12/2018;28/02/2019;0,69;0,09;0,12;0,11;0,64;1,86
23627;15378;00212010;ATYR PHARMA INC;LIFE;01/12/2018;3;3;1;100,00%;33,33%;31/12/2018;31/12/2018;28/02/2019;2,22;-0,43;-0,71;-0,47;0,36;0,57
9063;76282;05329W10;AUTONATION INC;AN;01/12/2018;4;2;3;50,00%;75,00%;31/12/2018;31/12/2018;28/02/2019;0,87;0,09;0,15;0,08;0,75;2,93
7647;59408;06050510;BANK OF AMERICA CORP;BAC;01/12/2018;9;9;9;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;1,02;0,02;0,12;0,07;0,89;7,87
2019;49656;06405810;BANK OF NEW YORK MELLON CORP (THE);BK;01/12/2018;6;6;3;100,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;0,88;0,03;0,11;0,09;0,89;7,92
2086;27887;07181310;BAXTER INTERNATIONAL INC;BAX;01/12/2018;6;5;5;83,33%;83,33%;31/12/2018;31/12/2018;28/02/2019;0,24;0,16;0,19;0,15;0,5;1
25279;77605;10113710;BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010);BSX;01/12/2018;5;5;0;100,00%;0,00%;31/12/2018;31/12/2018;28/02/2019;0,19;0,14;0,21;0,13;0,58;1,41
24468;76841;09062X10;BIOGEN INC (Biogen Idec Inc prior to 03/2015);BIIB;01/12/2018;4;0;3;0,00%;75,00%;31/12/2018;31/12/2018;28/02/2019;0,25;0,29;0,32;0,34;0,48;0,94
124434;87267;09247X10;BLACKROCK INC;BLK;01/12/2018;8;4;8;50,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,58;0,03;0,12;0,15;0,79;3,89
2285;19561;09702310;BOEING CO;BA;01/12/2018;7;6;4;85,71%;57,14%;31/12/2018;31/12/2018;28/02/2019;0,01;0,13;4,9;0,93;1;344,98
28742;79545;09972410;BORGWARNER INC;BWA;01/12/2018;5;3;3;60,00%;60,00%;31/12/2018;31/12/2018;28/02/2019;0,59;0,17;0,23;0,21;0,57;1,36
25279;77605;10113710;BOSTON SCIENTIFIC CORP;BSX;01/12/2018;5;5;5;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,19;0,14;0,21;0,13;0,58;1,41
2403;19393;11012210;BRISTOL-MYERS SQUIBB CO;BMY;01/12/2018;6;6;6;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,17;0,17;0,38;0,25;0,6;1,49
163610;90993;45866F10;CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999);ICE;01/12/2018;3;3;0;100,00%;0,00%;31/12/2018;31/12/2018;28/02/2019;0,46;0,04;0,1;0,11;0,81;4,39
30990;81055;14040H10;CAPITAL ONE FINANCIAL CORP;COF;01/12/2018;4;4;2;100,00%;50,00%;31/12/2018;31/12/2018;28/02/2019;1,33;0,03;0,13;0,08;0,86;6,2
2817;18542;14912310;CATERPILLAR INC;CAT;01/12/2018;4;3;4;75,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,2;0,16;0,43;0,19;0,82;4,59
13599;11552;15102010;CELGENE CORP (De-listed 11/2019);CELG;01/12/2018;7;4;2;57,14%;28,57%;31/12/2018;31/12/2018;28/02/2019;0,2;0,22;0,47;0,26;0,83;4,76
5742;21792;15189T10;CENTERPOINT ENERGY INC;CNP;01/12/2018;7;6;1;85,71%;14,29%;31/12/2018;31/12/2018;28/02/2019;0,68;0,09;0,04;0,06;0,7;2,35
12850;10909;15678210;CERNER CORP (De-listed 06/2022);CERN;01/12/2018;5;3;1;60,00%;20,00%;31/12/2018;31/12/2018;28/02/2019;0,31;0,22;0,12;0,15;0,27;0,36
163946;90829;12526910;CF INDUSTRIES HLDGS INC;CF;01/12/2018;7;4;6;57,14%;85,71%;31/12/2018;31/12/2018;28/02/2019;0,42;0,12;0,07;0,09;0,55;2,34
65609;85459;12541W20;CH ROBINSON WORLDWIDE INC;CHRW;01/12/2018;6;5;6;83,33%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,14;0,23;0,43;0,31;0,64;1,78
13988;75186;80851310;CHARLES SCHWAB CORP;SCHW;01/12/2018;6;5;5;83,33%;83,33%;31/12/2018;31/12/2018;28/02/2019;0,32;0,02;0,21;0,16;0,93;13,31
2991;14541;16676410;CHEVRON CORP;CVX;01/12/2018;5;5;5;100,00%;100,00%;31/12/2018;31/12/2018;28/02/2019;0,82;0,13;0,09;0,08;0,39;0,64
165914;91068;16965610;CHIPOTLE MEXICAN GRILL INC;CMG;01/12/2018;3;2;1;66,67%;33,33%;31/12/2018;31/12/2018;28/02/2019;0,12;0,26;0,13;;;
14824;23473;17206210;CINCINNATI FINANCIAL CORP;CINF;01/12/2018;9;5;4;55,56%;44,44%;31/12/2018;31/12/2018;28/02/2019;0,67;0,02;0,03;0,03;0,64;1,8
3243;70519;17296742;CITIGROUP INC;C;01/12/2018;7;7;5;100,00%;71,43%;31/12/2018;31/12/2018;28/02/2019;1,44;0,02;0,1;0,05;0,9;8,77
